note_id,subject,topic,content
1,Data Engineering,ETL Pipelines,"ETL stands for Extract, Transform, Load. It is a process used in data engineering to move data from source systems into a data warehouse. First, data is extracted from multiple sources such as databases, APIs, or files. Then it is transformed by cleaning errors, converting formats, and applying business rules. Finally, the cleaned data is loaded into a destination system such as a data warehouse or data lake. ETL pipelines are automated to run on a schedule, ensuring fresh data is always available for analysis."
2,Data Engineering,Data Warehousing,"A data warehouse is a central repository that stores large volumes of structured historical data from multiple sources. Unlike operational databases designed for daily transactions, data warehouses are optimized for analytical queries and reporting. Popular data warehouses include Amazon Redshift, Google BigQuery, and Snowflake. Data in a warehouse is organized in schemas such as star schema or snowflake schema to make reporting and dashboarding efficient."
3,Data Engineering,Apache Spark,"Apache Spark is an open-source distributed computing framework designed for fast large-scale data processing. It processes data in memory instead of reading and writing to disk like Hadoop MapReduce, making it significantly faster. Spark supports Python through PySpark, SQL, Java, and Scala. Key components include Spark Core, Spark SQL, Spark Streaming, MLlib for machine learning, and GraphX for graph processing."
4,Data Engineering,Medallion Architecture,"Medallion Architecture is a data design pattern used in modern data lakes and lakehouses. It organizes data into three layers: Bronze, Silver, and Gold. The Bronze layer stores raw unprocessed data as ingested from source systems. The Silver layer contains cleaned and validated data. The Gold layer holds aggregated business-ready data used for dashboards and machine learning models. This architecture improves data quality progressively as data moves through layers."
5,Data Engineering,Data Pipelines,"A data pipeline is a series of automated steps that move and transform data from one system to another. Pipelines are essential in modern data engineering for ensuring data flows reliably from sources like databases and APIs to destinations like data warehouses or dashboards. Tools used to build data pipelines include Apache Airflow for orchestration, Apache Kafka for streaming, and tools like dbt for transformation."
6,Machine Learning,Linear Regression,"Linear regression is a supervised machine learning algorithm used to predict a continuous numerical value. It finds the best-fit straight line through data points by minimizing the difference between predicted and actual values. The equation is y equals mx plus b, where m is the slope and b is the intercept. Linear regression is used in applications like predicting house prices, estimating student exam scores, and forecasting sales revenue."
7,Machine Learning,Feature Engineering,"Feature engineering is the process of selecting, creating, and transforming raw data variables called features to improve machine learning model performance. Good features capture the underlying patterns in data. Common techniques include encoding categorical variables using one-hot encoding, creating new features by combining existing ones, normalizing numerical features to a common scale, and removing irrelevant or redundant features."
8,Machine Learning,Model Evaluation,"Model evaluation measures how well a machine learning model performs on unseen data. For regression models, common metrics include Mean Absolute Error which measures average prediction error, Root Mean Squared Error which penalizes large errors, and R-squared which measures the proportion of variance explained by the model. For classification models, common metrics include accuracy, precision, recall, and F1-score."
9,GenAI,Large Language Models,"A Large Language Model or LLM is a type of artificial intelligence trained on massive amounts of text data to understand and generate human language. LLMs like GPT-4, Claude, and Llama are built using the Transformer architecture. They learn patterns in language by predicting the next word in a sequence during training. LLMs can perform tasks such as answering questions, writing code, summarizing documents, translating languages, and generating creative content."
10,GenAI,Prompt Engineering,"Prompt engineering is the practice of designing and refining the instructions given to a large language model to get the best possible response. A good prompt is clear, specific, and provides necessary context. Techniques include zero-shot prompting where no examples are given, few-shot prompting where examples are provided, chain-of-thought prompting that asks the model to reason step by step, and role prompting that assigns a persona to the model."
11,GenAI,Embeddings,"An embedding is a numerical representation of text as a vector of floating point numbers. Embeddings capture the semantic meaning of text, meaning that texts with similar meanings will have similar vector representations. Embeddings are created using models such as sentence-transformers or OpenAI text-embedding-ada-002. They are used in tasks like semantic search, document similarity, recommendation systems, and as input features for machine learning models."
12,GenAI,Vector Databases,"A vector database is a specialized database system designed to store, index, and search high-dimensional vectors called embeddings. Unlike traditional databases that search by exact match, vector databases search by similarity using distance metrics like cosine similarity or Euclidean distance. Popular vector databases include ChromaDB, Pinecone, Weaviate, and Milvus. Vector databases are essential infrastructure for building Retrieval-Augmented Generation systems."
13,GenAI,RAG Systems,"Retrieval-Augmented Generation or RAG is an AI architecture that improves LLM responses by retrieving relevant documents from a knowledge base and injecting them into the prompt as context. This solves the hallucination problem where LLMs generate incorrect information. The RAG pipeline works in steps: first documents are chunked and embedded into vectors, then stored in a vector database, then when a user asks a question the question is embedded and used to retrieve similar document chunks, and finally those chunks are injected into the LLM prompt."
14,Python,Pandas Library,"Pandas is a Python library for data manipulation and analysis. It provides two main data structures: Series for one-dimensional labeled data and DataFrame for two-dimensional tabular data. Key operations include reading data from CSV and JSON files, filtering rows with boolean conditions, grouping data with groupby, merging multiple dataframes with merge and join, handling missing values with fillna and dropna, and applying functions with apply and lambda."
15,Python,API Integration,"An API or Application Programming Interface allows different software systems to communicate with each other. In Python, the requests library is used to call REST APIs. A GET request retrieves data from a server. A POST request sends data to a server. APIs return responses in JSON format which can be parsed into Python dictionaries. Authentication is handled using API keys passed in request headers. Rate limits restrict how many requests can be made per minute or hour."
