note_id,subject,topic,content
N001,Data Engineering,ETL Pipelines,ETL stands for Extract Transform Load. It is the process of collecting raw data from different sources transforming it into a clean and structured format and loading it into a database or data warehouse for analysis.
N002,Data Engineering,SQL Databases,A database is an organized collection of data stored electronically. SQL or Structured Query Language is used to interact with relational databases. Common SQL commands include SELECT INSERT UPDATE and DELETE.
N003,Data Engineering,Data Cleaning,Data cleaning involves fixing or removing incorrect incomplete duplicate or corrupted data. Common cleaning tasks include handling missing values removing duplicates fixing data types and standardizing formats.
N004,Data Engineering,APIs and Data Collection,An API or Application Programming Interface allows two software applications to talk to each other. In data engineering APIs are used to fetch data from external services like weather data stock prices or social media feeds.
N005,Data Engineering,Big Data and PySpark,Big Data refers to extremely large datasets that cannot be processed by traditional tools. Apache Spark is a distributed computing framework that processes big data across multiple machines simultaneously. PySpark is the Python API for Spark.
N006,Machine Learning,Supervised Learning,Supervised learning is a type of machine learning where the model learns from labeled data. The model is given input features and correct output labels and it learns to predict outputs for new unseen inputs. Examples include classification and regression.
N007,Machine Learning,Model Evaluation,Model evaluation measures how well a machine learning model performs. Common metrics include accuracy for classification and Mean Absolute Error and R-squared for regression. A good model generalizes well to new data it has not seen before.
N008,Machine Learning,Feature Engineering,Feature engineering is the process of selecting transforming and creating input variables that help machine learning models learn better. This includes encoding categorical variables scaling numerical features and handling missing data.
N009,Machine Learning,Decision Trees,A decision tree is a machine learning model that makes predictions by asking a series of yes or no questions about the features. It splits data at each node based on the feature that best separates the classes or reduces error.
N010,Machine Learning,Random Forest,Random Forest is an ensemble learning method that builds multiple decision trees and combines their predictions. It is more accurate and robust than a single decision tree and handles overfitting well by averaging results from many trees.
N011,Generative AI,Large Language Models,A Large Language Model or LLM is an AI model trained on massive amounts of text data. It can generate human-like text answer questions summarize documents and perform many language tasks. Examples include GPT Claude and LLaMA.
N012,Generative AI,Prompt Engineering,Prompt engineering is the practice of designing effective instructions or inputs for AI language models. A good prompt gives the model clear context specific instructions and examples if needed. Techniques include zero-shot few-shot role-based and chain-of-thought prompting.
N013,Generative AI,Retrieval Augmented Generation,RAG or Retrieval Augmented Generation is a technique where an AI model first retrieves relevant documents from a knowledge base and then generates an answer based on those retrieved documents. This reduces hallucination and allows AI to answer questions about specific data.
N014,Python Programming,Pandas Library,Pandas is a Python library used for data manipulation and analysis. It provides the DataFrame data structure which is like a table with rows and columns. Common operations include reading CSV files filtering rows grouping data and creating new columns.
N015,Python Programming,Data Visualization,Data visualization is the process of representing data as charts graphs and visual formats. Python libraries like Matplotlib and Seaborn are used to create bar charts line plots histograms and pie charts that help humans understand patterns in data.
